Recording_time_ID,lhx,lhy,lhz,rhx,rhy,rhz,hx,hy,hz,sx,sy,sz,lwx,lwy,lwz,rwx,rwy,rwz,vlhx,vlhy,vlhz,vrhx,vrhy,vrhz,vlwx,vlwy,vlwz,vrwx,vrwy,vrwz,alhx,alhy,alhz,arhx,arhy,arhz,alwx,alwy,alwz,arwx,arwy,arwz,Action
AR0888,4.20559,4.694525,1.869073,4.921949,4.029522,1.889851,4.851381,1.856576,2.092771,4.847641,4.235451,2.124541,4.031155,4.545699,1.93197,5.182875,4.038663,1.947271,-0.00088427,-0.03461853,0.00027412,0.03724682,0.04458408,0.00550804,0.006921899999999999,-0.02709778,-0.0026235,0.02815532,0.03294594,0.00409743,0.00010022,-0.00154641,-0.00077409,0.00093983,0.00377452,0.00053998,0.00179738,-0.00040132,-0.00072897,0.00070431,0.00272623,0.00040282,Response-3
AR1820,3.667537,5.31572,1.828394,5.496964,5.049758,1.6501580000000002,4.45252,1.847379,1.981042,4.470696,4.20431,1.976017,3.628386,5.047235,1.854775,5.455914,4.805274,1.72848,-0.00034698,-0.00026228,4.5e-06,0.00727323,0.00466093,0.00051898,-0.00025739,-0.00020445,2.8899999999999998e-05,0.00264009,0.00248573,0.00016133,-2.167e-05,-2.264e-05,-3.51e-06,0.00138603,0.0009019,6.443e-05,-2.201e-05,-1.758e-05,-9.4e-07,0.00039548,0.00010694,6.38e-05,Response-5
AR1873,3.687988,2.772793,1.62646,6.565267,2.71156,1.630421,5.026713,1.773879,1.6777349999999998,5.099942,4.226959,1.7125259999999998,3.497558,3.2113970000000003,1.488098,6.561435,2.7590060000000003,1.62941,-0.0012119000000000001,0.02281271,-0.01034862,-0.00635614,0.02493598,-0.00110394,0.00677877,0.01003811,-0.00075779,-0.00588347,0.0203783,-0.00213977,-0.00365651,0.00045503,-0.00593768,0.00023236,-0.0013832,0.00042416,-0.00057001,-0.00333115,0.00022621,0.00086581,-0.00265187,0.0003404,Response-3
AR4378,4.726025,4.561223,1.90297,6.186168,4.496355,1.858916,4.920242,1.872385,2.126026,4.854091,4.249518,2.140577,4.494871,4.460796,1.931542,6.07524,4.513081,1.9071,0.00599189,-0.00124437,0.00027191,0.00677272,0.00304438,-0.00024386,8.442e-05,-0.00141423,0.00054125,0.00069085,0.0008442,0.00040114,0.00034507,0.00025985,-1.467e-05,0.00094906,0.00079011,-1.39e-05,0.00012424,-0.0001607,4.246e-05,4.017e-05,0.00024968,9.127e-05,Response-5
AR3139,2.289227,4.712777,2.227426,2.993593,4.458786,2.288884,2.370949,0.8698940000000001,2.407945,2.484432,3.4744550000000003,2.431198,1.945158,4.522863,2.248401,3.225525,4.2267519999999985,2.335335,-1.891e-05,-2.24e-05,-1.83e-06,7.4e-07,-1.091e-05,-1.93e-06,-5.13e-06,-3.144e-05,-3.9e-07,5.7e-07,1.254e-05,-1.48e-06,9.9e-07,1.81e-06,-3.3e-07,1e-06,-1.5e-07,2.6e-07,7.1e-07,2.64e-06,-1.6e-07,5.4e-07,-1.53e-06,6.5e-07,Response-1
AR1558,4.1090019999999985,3.927355,1.501798,6.920992999999998,3.501003,1.4232870000000002,5.430639,1.736059,1.697598,5.544961,4.214993,1.73355,4.129823,4.040034,1.506621,6.755753,3.800904,1.4622540000000002,-0.01396231,0.01691147,0.00127739,0.01479516,0.02394368,0.00113921,-0.00448361,0.01150878,0.00260632,0.02808224,0.01234967,-0.00046669,-0.00123535,0.00246184,0.00012641,8.041e-05,0.00567942,0.00038643,-0.0016602000000000001,0.00212178,-5.743e-05,0.00686513,0.00295901,-0.00024569,Response-5
AR1579,4.668501,4.950205,2.279571,4.796742,5.128264,2.298723,4.656317,4.7010489999999985,2.555991,4.683853,4.969517,2.600806,4.65417,4.954902,2.32482,4.790611,5.085721,2.33283,-0.00124217,0.00075172,0.01259581,-0.00172311,0.00049604,-0.00653109,0.00261877,-0.0003233,-0.00079149,-0.00087172,0.0006946000000000001,-0.00755919,-0.00287176,0.00119123,0.00829685,-0.00024638,0.00022781,-0.00020873,0.00029527,-0.00011883,3.555e-05,-0.00016129,-0.00022298,-2.52e-05,Response-2
AR1709,1.2725,5.52583,2.119054,3.766633,5.583711,2.2663990000000003,2.786795,1.3270879999999998,2.212436,2.523509,4.057683,2.253991,1.384308,5.084266,2.144871,3.680419,5.138554,2.277756,-0.00042404,0.00019880000000000003,0.00092484,0.00085559,-0.00063374,-0.00029396,4.775e-05,-0.00042963,0.00026588,0.00074916,-0.00058562,-0.00028152,-0.00014946,0.0001715,0.00015621,-8.656e-05,5.166e-05,4.85e-05,-7.413e-05,5.619e-05,6.573e-05,-7.888e-05,3.583e-05,3.841e-05,Response-2
AR4108,4.3306830000000005,5.037382,1.891318,5.0210620000000015,5.152056,1.907732,4.879743,1.844396,2.1158200000000003,4.854716000000002,4.242615,2.122995,4.129108,4.816562,1.959884,5.257494,4.998901,1.953539,-0.00195728,0.01014442,0.00357135,0.01427023,0.00090488,0.00331517,0.00225472,0.00871709,0.00129817,0.01121527,-0.00058297,0.00234884,2.658e-05,7.341e-05,0.00069719,0.00031612,0.00024329,0.00018421,0.00064565,0.00017686,-2.107e-05,0.00029575,-3.224e-05,0.00010218,Response-2
AR1171,4.421911,3.245796,1.35359,5.7419720000000005,3.886645,1.492309,5.062042,1.622844,1.73886,5.003149,4.181062,1.744588,4.584955,2.8954020000000003,1.374773,5.754834,4.016638,1.499603,-0.00125544,-0.00837702,0.00411683,-9.183e-05,0.01900448,-0.0026441,-0.00829283,0.00349584,0.00370404,0.00328351,0.01201196,-0.00134877,-0.00036446,-0.00115542,-0.00010143,-0.00042105,0.00206643,0.00022962,-0.00107397,-6.15e-05,-0.00027573,0.00045226,0.00133009,0.00043236,Response-3
